Lang1;Lang2;FullName;artifacts_analyzed;difficulty_keywords_found;difficulty_density;repo_has_difficulty;keywords_detected
OCaml;C;MinaProtocol/mina;5041;1994;0.3956;True;"nan; nif; native binding; idl; jna; undefined symbol; libffi; wrapper; manual override; interop; native bindings; rust ffi; glue code; jsr; napi; bridge; binding; ctype; grpc; bindgen; stub; ffi; manual config"
OCaml;C;savonet/liquidsoap;1767;404;0.2286;True;"bridge; libffi; nan; nif; wrapper; binding; ctype; ffi; stub; idl; symbol not found; undefined reference"
OCaml;C;ocaml/dune;5241;310;0.0591;True;"linker error; manual fix; nan; libffi; nif; wrapper module; wrapper; binding; ctype; interface module; ffi; stub; idl; undefined symbol; cannot resolve symbol"
OCaml;C;ocaml/ocaml-lsp;1313;76;0.0579;True;"nan; nif; wrapper module; type mismatch; wrapper; binding; idl; ffi; stub; interop; undefined reference"
OCaml;C;herd/herdtools7;1287;67;0.0521;True;"bridge; nan; nif; wrapper; binding; ctype; ffi; undefined identifier; stub"
OCaml;C;dfinity/motoko;4369;888;0.2033;True;"c node; nan; nif; type mismatch; module binding; idl; jna; undefined symbol; dlsym; wrapper; language binding; interop; linker error; manual fix; cross-language; rust ffi; cbindgen; interoperability; jsr; napi; bridge; incompatible types; ffi bindings; dlopen; graalvm; python bindings; thrift; binding; ctype; grpc; bindgen; ffi binding; ffi; stub; language bindings; cffi"
OCaml;C;facebook/infer;1135;162;0.1427;True;"c node; nan; nif; idl; undefined symbol; jni; libffi; wrapper; node-gyp; undefined reference; custom wrapper; jsr; integration error; bridge; dlopen; corba; binding; ctype; ffi; stub"
OCaml;C;opengrep/opengrep;278;40;0.1439;True;"napi; nan; nif; wrapper; binding; ffi"
OCaml;C;goblint/analyzer;1438;221;0.1537;True;"bridge; incompatible types; c node; nan; nif; wrapper module; wrapper; binding; ctype; compatibility wrapper; stub; ffi; manual config; idl"
OCaml;C;geocaml/ocaml-tiff;40;2;0.05;True;"interop; ffi"
OCaml;C;ocaml/num;48;10;0.2083;True;"nif; stub; nan"
OCaml;C;rems-project/sail;1113;101;0.0907;True;"linker error; external binding; incompatible types; bridge; nan; nif; wrapper; cross-language; binding; type mismatch; ctype; ffi; stub; idl; undefined reference"
OCaml;C;facebook/flow;2946;205;0.0696;True;"module not found; c node; nan; nif; node-addon-api; idl; jna; truffle; jpl; integration issue; wrapper; interop; interoperability; jsr; napi; bridge; corba; interface declaration; binding; ctype; stub; ffi; swig"
OCaml;C;semgrep/semgrep;5258;443;0.0843;True;"c node; nan; nif; node-addon-api; idl; jna; undefined symbol; linking error; wrapper; interface module; linker error; manual fix; multi-language; glue code; napi; external interface; bridge; bridge module; binding; ctype; ffi; stub; cffi"
OCaml;C;AeneasVerif/eurydice;205;12;0.0585;True;"manual fix; nan; type mismatch; binding; ffi"
OCaml;C;glondu/belenios;94;7;0.0745;True;"nif; idl; ffi; nan"
OCaml;C;rems-project/cn;167;19;0.1138;True;"nan; nif; type mismatch; wrapper; binding; ctype; ffi"
OCaml;C;FStarLang/karamel;610;91;0.1492;True;"linking error; bridge; nan; nif; type mismatch; wrapper; binding; ctype; module binding; failed to link; ffi; stub; idl; undefined reference"
OCaml;C;jrh13/hol-light;140;14;0.1;True;"nif; wrapper; binding; grpc; stub; ffi"
OCaml;C;zeko-labs/zeko;307;25;0.0814;True;"bridge; nan; nif; wrapper; binding; stub; ffi"
OCaml;C;GillianPlatform/Gillian;352;34;0.0966;True;"nif; wrapper; ffi; binding"
OCaml;C;facebook/pyre-check;953;168;0.1763;True;"napi; incompatible types; nan; signature mismatch; nif; wrapper; multi-language; binding; ctype; thrift; type mismatch; ffi; stub; idl; symbol not found; cffi; undefined reference"
OCaml;C;ml-in-barcelona/server-reason-react;259;26;0.1004;True;"nan; signature mismatch; nif; binding; ctype; ffi; stub"
OCaml;C;xapi-project/xen-api;5038;576;0.1143;True;"napi; bridge; nan; port driver; nif; wrapper; binding; module binding; ctype; ffi; stub; glue code; interop; language binding; idl"
OCaml;C;EasyCrypt/easycrypt;784;46;0.0587;True;"nan; nif; type mismatch; binding; ctype; ffi; idl"
OCaml;Java;facebook/infer;1135;162;0.1427;True;"c node; nan; nif; idl; undefined symbol; jni; libffi; wrapper; node-gyp; undefined reference; custom wrapper; jsr; integration error; bridge; dlopen; corba; binding; ctype; ffi; stub"
OCaml;Java;opengrep/opengrep;278;40;0.1439;True;"napi; nan; nif; wrapper; binding; ffi"
OCaml;Java;semgrep/semgrep;5258;443;0.0843;True;"c node; nan; nif; node-addon-api; idl; jna; undefined symbol; linking error; wrapper; interface module; linker error; manual fix; multi-language; glue code; napi; external interface; bridge; bridge module; binding; ctype; ffi; stub; cffi"
OCaml;Java;jrh13/hol-light;140;14;0.1;True;"nif; wrapper; binding; grpc; stub; ffi"
OCaml;Java;xapi-project/xen-api;5038;576;0.1143;True;"napi; bridge; nan; port driver; nif; wrapper; binding; module binding; ctype; ffi; stub; glue code; interop; language binding; idl"
Erlang;Java;apache/couchdb;3728;325;0.0872;True;"c node; nan; nif; idl; wrapper; node-gyp; interop; undefined reference; linker error; interoperability; jsr; napi; bridge; dlopen; thrift; binding; ctype; ffi; stub"
Erlang;Java;erlyaws/yaws;502;28;0.0558;True;"c node; nan; nif; type mismatch; binding; ctype; ffi; swig; undefined symbol"
Erlang;Java;erlang/otp;5235;578;0.1104;True;"c node; nan; nif; wrapper module; type mismatch; erlang port; idl; undefined symbol; wrapper; interop; interoperability; napi; bridge; dlopen; port driver; corba; wrong arity; binding; ctype; symbol clash; ffi; stub"
Erlang;Java;CloudI/CloudI;231;24;0.1039;True;"port driver; nif; thrift; erlang port; ffi; swig; idl; undefined symbol"
Erlang;Java;rabbitmq/rabbitmq-tutorials;574;92;0.1603;True;"napi; graalvm; incompatible types; nan; nif; wrapper; binding; grpc; stub; ffi; interop; jni"
C;Java;opensearch-project/k-NN;2086;348;0.1668;True;"symbol not found; napi; bridge; nan; nif; wrapper; binding; ctype; grpc; ffi; glue code; jsr; idl; jna; undefined symbol; jni; undefined reference"
C;Java;maxon887/Cross;26;0;0.0;False;
C;Java;ucscGenomeBrowser/kent;93;9;0.0968;True;"type conversion error; ffi; undefined reference"
C;Java;usethesource/rascal;1053;77;0.0731;True;"bridge; incompatible types; nan; nif; type mismatch; wrapper; binding; ctype; stub; ffi; idl; jni"
C;Java;DrTimothyAldenDavis/SuiteSparse;945;119;0.1259;True;"linking error; dllimport; dlopen; nan; unresolved external; nif; wrapper; failed to link; binding; ctype; bindgen; idl; stub; ffi; interop; missing symbol; undefined symbol; undefined reference"
C;Java;eclipse-ee4j/openmq;1974;254;0.1287;True;"napi; bridge; graalvm; nan; nif; wrapper; bridge module; binding; ctype; stub; ffi; interop; jsr; idl; jni"
C;Java;open-watcom/open-watcom-v2;1091;104;0.0953;True;"nan; nif; type mismatch; failed to link; idl; missing symbol; jna; undefined symbol; dllimport; libffi; wrapper; undefined reference; linker error; jsr; napi; dlopen; corba; ctype; ffi; stub; manual config"
C;Java;apache/beam;5236;579;0.1106;True;"nan; nif; binary incompatibility; idl; missing symbol; wrapper; interop; multi-language; cross-language; napi; bridge; port driver; python bindings; thrift; binding; ctype; grpc; ffi; stub; cffi"
C;Java;fluent/fluent-bit;5441;533;0.098;True;"c node; nan; nif; type mismatch; idl; undefined symbol; libffi; wrapper; can't integrate; undefined reference; linker error; jsr; napi; bridge; dlopen; unresolved external; thrift; binding; ctype; grpc; ffi; stub"
C;Java;pkgxdev/pantry;3758;113;0.0301;True;"nan; python-cffi; nif; jna; truffle; jni; linking error; libffi; wrapper; node-gyp; undefined reference; cbindgen; napi; graalvm; bridge; thrift; binding; grpc; bindgen; ffi; stub; swig; cffi"
C;Java;geany/geany;2294;218;0.095;True;"napi; dlsym; nan; integration issue; nif; wrapper; binding; ctype; compatibility wrapper; ffi; stub; interop; jsr; idl; jna; undefined symbol"
C;Java;oracle/graal;5123;1175;0.2294;True;"c node; nan; nif; interop code; foreign interface; native binding; polyglot context; idl; missing symbol; foreign module; undefined symbol; truffle; jni; foreign function; jna; linking error; javacall; libffi; wrapper; interop; native interface; linker error; native bindings; jsr; napi; graalvm; bridge; incompatible types; dlopen; unresolved external; binding; grpc; stub; ffi"
C;Java;eclipse-jgit/jgit;149;23;0.1544;True;"jpl; graalvm; nan; nif; wrapper; binding; ffi; jna"
C;Java;openhab/openhab-addons;5289;2403;0.4543;True;"nan; nif; native binding; idl; jna; jni; truffle; jpl; wrapper; interface module; jsr223; multi-language; jsr; napi; graalvm; bridge; incompatible types; binding; ctype; ffi; stub; manual config"
C;Java;BasedHardware/omi;2008;135;0.0672;True;"napi; bridge; nan; nif; wrapper; multi-language; ctype; ffi; interoperability; interop; multilanguage; idl"
C;Java;yugabyte/yugabyte-db;5692;182;0.032;True;"manual fix; bridge; c node; nan; nif; wrapper; binding; ctype; grpc; node-gyp; ffi; stub; idl; jni"
C;Java;fte-team/fteqw;346;23;0.0665;True;"bridge; nan; nif; type mismatch; wrapper; binding; ffi; idl; undefined symbol; undefined reference"
C;Java;crdroidandroid/android_frameworks_base;1208;36;0.0298;True;"bridge; nan; nif; wrapper; binding; stub; ffi; idl; missing symbol; jni"
C;Java;libical/libical;908;110;0.1211;True;"linker error; linking error; incompatible types; libffi; python bindings; nif; nan; wrapper; type mismatch; binding; ctype; ffi; interoperability; swig; interop; undefined symbol; undefined reference"
